data,dosi_previste
2021-03-9,5929299
2021-03-10,210000
2021-03-11,210000
2021-03-12,210000
2021-03-13,210000
2021-03-14,210000
2021-03-15,210000
2021-03-16,210000
2021-03-17,210000
2021-03-18,210000
2021-03-19,210000
2021-03-20,210000
2021-03-21,210000
2021-03-22,210000
2021-03-23,300000
2021-03-24,300000
2021-03-25,300000
2021-03-26,300000
2021-03-27,300000
2021-03-28,300000
2021-03-29,300000
2021-03-30,300000
2021-03-31,300000
2021-04-01,300000
2021-04-02,300000
2021-04-03,300000
2021-04-04,300000
2021-04-05,300000
2021-04-06,300000
2021-04-07,300000
2021-04-08,300000
2021-04-09,300000
2021-04-10,300000
2021-04-11,300000
2021-04-12,300000
2021-04-13,500000
2021-04-14,500000
2021-04-15,500000
2021-04-16,500000
2021-04-17,500000
2021-04-18,500000
2021-04-19,500000
2021-04-20,500000
2021-04-21,500000
2021-04-22,500000
2021-04-23,500000
2021-04-24,500000
2021-04-25,500000
2021-04-26,500000
2021-04-27,500000
2021-04-28,500000
2021-04-29,500000
2021-04-30,500000
2021-05-01,500000
2021-05-02,500000
2021-05-03,500000
2021-05-04,500000
2021-05-05,500000
2021-05-06,500000
2021-05-07,500000
2021-05-08,500000
2021-05-09,500000
2021-05-10,500000
2021-05-11,500000
2021-05-12,500000
2021-05-13,500000
2021-05-14,500000
2021-05-15,500000
2021-05-16,500000
2021-05-17,500000
2021-05-18,500000
2021-05-19,500000
2021-05-20,500000
2021-05-21,500000
2021-05-22,500000
2021-05-23,500000
2021-05-24,500000
2021-05-25,500000
2021-05-26,500000
2021-05-27,500000
2021-05-28,500000
2021-05-29,500000
2021-05-30,500000
2021-05-31,500000
